Region,Place Code,Place,ODS Code,GP Practice (ODS Code),Registered Patients,% of patients with a nomination,EPS Items,eRD Items,All Items,EPS Utilisation,eRD Utilisation (EPS Items),eRD Utilisation (All Items)
Midlands,B2M3M,Coventry & Warwickshire,M86005,Hillfields Health Centre - 1 (M86005),4708,59.8%,6780,330,7095,95.6%,4.9%,4.7%
Midlands,B2M3M,Coventry & Warwickshire,M86006,Jubilee Healthcare (M86006),9849,72.9%,14020,4662,14193,98.8%,33.3%,32.8%
Midlands,B2M3M,Coventry & Warwickshire,M86007,Phoenix Family Care (M86007),6366,72.8%,9470,2373,9817,96.5%,25.1%,24.2%
Midlands,B2M3M,Coventry & Warwickshire,M86008,The Gables Medicentre (M86008),10183,75.4%,17208,3538,18239,94.3%,20.6%,19.4%
Midlands,B2M3M,Coventry & Warwickshire,M86009,Engleton House Surgery (M86009),27143,45.6%,18309,1692,18646,98.2%,9.2%,9.1%
Midlands,B2M3M,Coventry & Warwickshire,M86010,Forrest Medical Centre (M86010),11645,69.2%,15155,1150,15342,98.8%,7.6%,7.5%
Midlands,B2M3M,Coventry & Warwickshire,M86012,Priory Gate Practice (M86012),9444,59.1%,10133,481,10504,96.5%,4.7%,4.6%
Midlands,B2M3M,Coventry & Warwickshire,M86014,The Forum Health Centre (M86014),20404,79.0%,28977,4470,29475,98.3%,15.4%,15.2%
Midlands,B2M3M,Coventry & Warwickshire,M86015,Kenyon Medical Centres (M86015),13800,73.6%,25573,1559,25953,98.5%,6.1%,6.0%
Midlands,B2M3M,Coventry & Warwickshire,M86016,Godiva Group Practice (M86016),20020,64.0%,25637,717,26531,96.6%,2.8%,2.7%
Midlands,B2M3M,Coventry & Warwickshire,M86017,Mansfield Medical Centre (M86017),10558,69.2%,14931,1158,15079,99.0%,7.8%,7.7%
Midlands,B2M3M,Coventry & Warwickshire,M86018,Moseley Avenue Surgery (M86018),11867,75.0%,14639,593,14829,98.7%,4.1%,4.0%
Midlands,B2M3M,Coventry & Warwickshire,M86019,Westwood Medical H/Centre (M86019),4466,67.1%,6272,285,7894,79.5%,4.5%,3.6%
Midlands,B2M3M,Coventry & Warwickshire,M86020,Wood End Health Centre (M86020),8076,78.0%,11191,336,11358,98.5%,3.0%,3.0%
Midlands,B2M3M,Coventry & Warwickshire,M86021,Springfield Medical Practice (M86021),7000,79.9%,10518,908,10677,98.5%,8.6%,8.5%
Midlands,B2M3M,Coventry & Warwickshire,M86027,The Cheylesmore Surgery (M86027),12034,59.8%,10068,680,10405,96.8%,6.8%,6.5%
Midlands,B2M3M,Coventry & Warwickshire,M86028,Central Medical Centre (M86028),3373,73.7%,4597,333,5781,79.5%,7.2%,5.8%
Midlands,B2M3M,Coventry & Warwickshire,M86029,Broomfield Park Med.Ctr. (M86029),20459,53.3%,17535,6723,18394,95.3%,38.3%,36.5%
Midlands,B2M3M,Coventry & Warwickshire,M86030,Kensington Road Surgery (M86030),6370,70.5%,9345,1132,10288,90.8%,12.1%,11.0%
Midlands,B2M3M,Coventry & Warwickshire,M86032,Holbrooks Health Team (M86032),11812,70.9%,15966,1035,16274,98.1%,6.5%,6.4%
Midlands,B2M3M,Coventry & Warwickshire,M86033,Willenhal Oak Medical Centre (M86033),4174,81.4%,8320,270,8382,99.3%,3.2%,3.2%
Midlands,B2M3M,Coventry & Warwickshire,M86034,Woodside Medical Centre (M86034),10409,79.4%,17533,2443,17710,99.0%,13.9%,13.8%
Midlands,B2M3M,Coventry & Warwickshire,M86035,Henley Green Medical Centre (M86035),8071,73.4%,12471,147,12666,98.5%,1.2%,1.2%
Midlands,B2M3M,Coventry & Warwickshire,M86037,Quinton Park Medical Centre (M86037),3958,68.8%,4932,895,5360,92.0%,18.1%,16.7%
Midlands,B2M3M,Coventry & Warwickshire,M86038,Bredon Avenue Surgery (M86038),2841,66.1%,4841,477,4903,98.7%,9.9%,9.7%
Midlands,B2M3M,Coventry & Warwickshire,M86039,Allesley Village Surgery (M86039),4617,83.6%,7416,1681,7596,97.6%,22.7%,22.1%
Midlands,B2M3M,Coventry & Warwickshire,M86040,Walsgrave Health Centre (M86040),4443,75.3%,6153,517,6330,97.2%,8.4%,8.2%
Midlands,B2M3M,Coventry & Warwickshire,M86041,Clay Lane Medical Practice (M86041),9109,63.8%,12002,988,12400,96.8%,8.2%,8.0%
Midlands,B2M3M,Coventry & Warwickshire,M86044,Park House (M86044),4096,72.5%,4809,438,4973,96.7%,9.1%,8.8%
Midlands,B2M3M,Coventry & Warwickshire,M86045,Paradise Medical Centre (M86045),7536,81.5%,11182,3752,11460,97.6%,33.6%,32.7%
Midlands,B2M3M,Coventry & Warwickshire,M86046,Copsewood Medical Centre (M86046),5479,76.5%,8868,1044,8962,99.0%,11.8%,11.6%
Midlands,B2M3M,Coventry & Warwickshire,M86048,Windmill Surgery (M86048),7828,62.0%,8855,48,10049,88.1%,0.5%,0.5%
Midlands,B2M3M,Coventry & Warwickshire,M86605,Limbrick Wood Surgery (M86605),2928,76.9%,4237,557,4249,99.7%,13.1%,13.1%
Midlands,B2M3M,Coventry & Warwickshire,M86610,Dadhania Surgery (M86610),2578,50.9%,1745,155,1801,96.9%,8.9%,8.6%
Midlands,B2M3M,Coventry & Warwickshire,M86612,George Eliot Medical Centre (M86612),3460,63.8%,3775,151,3869,97.6%,4.0%,3.9%
Midlands,B2M3M,Coventry & Warwickshire,M86617,Hillfields - Dr Bano (M86617),3186,73.7%,5185,357,5438,95.3%,6.9%,6.6%
Midlands,B2M3M,Coventry & Warwickshire,M86622,Govind Health Centre (M86622),3124,74.0%,4456,1393,4586,97.2%,31.3%,30.4%
Midlands,B2M3M,Coventry & Warwickshire,M86624,Coventry Gp Group Of Practices (M86624),10031,72.0%,12657,926,13122,96.5%,7.3%,7.1%
Midlands,B2M3M,Coventry & Warwickshire,M86627,Stoke Aldermoor Med Ctre (M86627),6526,71.3%,7404,323,7716,96.0%,4.4%,4.2%
Midlands,B2M3M,Coventry & Warwickshire,M86633,Edgwick Medical Centre (M86633),5360,57.1%,5269,103,6233,84.5%,2.0%,1.7%
Midlands,B2M3M,Coventry & Warwickshire,M86638,Woodway Medical Centre (M86638),6310,79.6%,8544,330,8875,96.3%,3.9%,3.7%
Midlands,D2P2L,Black Country & West Birmingham,M87001,Meadowbrook Surgery (M87001),6795,82.7%,10466,37,11098,94.3%,0.4%,0.3%
Midlands,D2P2L,Black Country & West Birmingham,M87003,Moss Grove Surgery (M87003),19605,83.0%,31230,6608,32507,96.1%,21.2%,20.3%
Midlands,D2P2L,Black Country & West Birmingham,M87005,Three Villages Medical Practice (M87005),11868,84.8%,15480,418,15749,98.3%,2.7%,2.7%
Midlands,D2P2L,Black Country & West Birmingham,M87006,Eve Hill Medical Practice (M87006),8378,82.4%,15236,2947,15341,99.3%,19.3%,19.2%
Midlands,D2P2L,Black Country & West Birmingham,M87007,The Ridgeway Surgery (M87007),11508,83.2%,18517,1780,18570,99.7%,9.6%,9.6%
Midlands,D2P2L,Black Country & West Birmingham,M87008,Kingswinford Medical Practice (M87008),8256,84.9%,15222,2750,15336,99.3%,18.1%,17.9%
Midlands,D2P2L,Black Country & West Birmingham,M87009,Aw Surgeries (M87009),17131,79.5%,28657,3053,29256,98.0%,10.7%,10.4%
Midlands,D2P2L,Black Country & West Birmingham,M87010,The Waterfront Surgery (M87010),8574,73.8%,11292,811,11675,96.7%,7.2%,6.9%
Midlands,D2P2L,Black Country & West Birmingham,M87011,Lion Health (M87011),29203,78.6%,38225,140,38803,98.5%,0.4%,0.4%
Midlands,D2P2L,Black Country & West Birmingham,M87012,The Greens Health Centre (M87012),7256,78.9%,12740,3451,13060,97.5%,27.1%,26.4%
Midlands,D2P2L,Black Country & West Birmingham,M87013,Horseley Heath Surgery (M87013),11324,78.1%,16071,0,16286,98.7%,0.0%,0.0%
Midlands,D2P2L,Black Country & West Birmingham,M87014,Lapal Medical Practice (M87014),7702,81.2%,9107,6,9359,97.3%,0.1%,0.1%
Midlands,D2P2L,Black Country & West Birmingham,M87015,Lower Gornal Medical Practice (M87015),8376,83.1%,12749,128,12962,98.4%,1.0%,1.0%
Midlands,D2P2L,Black Country & West Birmingham,M87016,Woodsetton Medical Centre (M87016),6935,81.7%,8466,33,8558,98.9%,0.4%,0.4%
Midlands,D2P2L,Black Country & West Birmingham,M87017,Steppingstones Medical Practice (M87017),8256,73.0%,11869,1553,12575,94.4%,13.1%,12.3%
Midlands,D2P2L,Black Country & West Birmingham,M87018,The Summerhill Surgery (M87018),6648,79.3%,18113,1592,18543,97.7%,8.8%,8.6%
Midlands,D2P2L,Black Country & West Birmingham,M87019,The Limes Surgery Medical Centre (M87019),6242,80.9%,8968,97,9336,96.1%,1.1%,1.0%
Midlands,D2P2L,Black Country & West Birmingham,M87020,Feldon Lane Practice (M87020),9529,77.2%,12058,4,12219,98.7%,0.0%,0.0%
Midlands,D2P2L,Black Country & West Birmingham,M87021,Coseley Medical Centre (M87021),7169,84.5%,10853,265,10897,99.6%,2.4%,2.4%
Midlands,D2P2L,Black Country & West Birmingham,M87023,Wordsley Green Health Centre (M87023),9521,80.9%,13422,388,13564,99.0%,2.9%,2.9%
Midlands,D2P2L,Black Country & West Birmingham,M87024,Wychbury Medical Group (M87024),22177,77.4%,33873,170,35177,96.3%,0.5%,0.5%
Midlands,D2P2L,Black Country & West Birmingham,M87025,Cross Street Health Centre (M87025),5183,69.5%,8085,503,8352,96.8%,6.2%,6.0%
Midlands,D2P2L,Black Country & West Birmingham,M87026,St James Medical Practice2 (M87026),5449,81.5%,7404,173,7502,98.7%,2.3%,2.3%
Midlands,D2P2L,Black Country & West Birmingham,M87027,Quarry Bank Medical Centre (M87027),4563,71.4%,6525,968,6846,95.3%,14.8%,14.1%
Midlands,D2P2L,Black Country & West Birmingham,M87028,Anchor Medical Practice (M87028),7962,84.7%,10293,322,10449,98.5%,3.1%,3.1%
Midlands,D2P2L,Black Country & West Birmingham,M87030,Pedmore Medical Practice (M87030),4238,78.8%,6669,100,6751,98.8%,1.5%,1.5%
Midlands,D2P2L,Black Country & West Birmingham,M87034,Clement Road Medical Practice (M87034),5212,76.4%,7431,82,7655,97.1%,1.1%,1.1%
Midlands,D2P2L,Black Country & West Birmingham,M87036,Bean Medical Practice (M87036),3772,66.2%,4571,5,4767,95.9%,0.1%,0.1%
Midlands,D2P2L,Black Country & West Birmingham,M87037,Northway Medical Centre (M87037),6876,86.0%,10133,155,10306,98.3%,1.5%,1.5%
Midlands,D2P2L,Black Country & West Birmingham,M87041,Rangeways Road Surgery (M87041),5773,78.2%,8520,1043,8691,98.0%,12.2%,12.0%
Midlands,D2P2L,Black Country & West Birmingham,M87601,Keelinge House (M87601),6893,77.7%,11107,197,11298,98.3%,1.8%,1.7%
Midlands,D2P2L,Black Country & West Birmingham,M87602,Halesowen Medical Practice (M87602),10001,79.3%,14109,76,14448,97.7%,0.5%,0.5%
Midlands,D2P2L,Black Country & West Birmingham,M87605,Central Clinic (M87605),4067,71.4%,4011,41,4090,98.1%,1.0%,1.0%
Midlands,D2P2L,Black Country & West Birmingham,M87612,St James Medical Practice1 (M87612),2425,85.8%,4076,34,4137,98.5%,0.8%,0.8%
Midlands,D2P2L,Black Country & West Birmingham,M87617,Links Medical Practice (M87617),5683,82.3%,5661,189,6008,94.2%,3.3%,3.1%
Midlands,D2P2L,Black Country & West Birmingham,M87618,Quincy Rise Surgery (M87618),2890,79.1%,2533,14,2788,90.9%,0.6%,0.5%
Midlands,D2P2L,Black Country & West Birmingham,M87620,Castle Meadows Surgery (M87620),6222,79.6%,7473,1275,7564,98.8%,17.1%,16.9%
Midlands,D2P2L,Black Country & West Birmingham,M87621,Bath Street Medical Centre (M87621),2943,79.1%,4117,174,4289,96.0%,4.2%,4.1%
Midlands,D2P2L,Black Country & West Birmingham,M87623,Alexandra Medical Centre (M87623),3141,81.8%,4817,0,5074,94.9%,0.0%,0.0%
Midlands,D2P2L,Black Country & West Birmingham,M87628,Chapel Street Medical Centre (M87628),2584,65.1%,2661,164,2823,94.3%,6.2%,5.8%
Midlands,D2P2L,Black Country & West Birmingham,M87638,Thorns Road Surgery (M87638),3705,80.6%,5511,402,5651,97.5%,7.3%,7.1%
Midlands,D2P2L,Black Country & West Birmingham,M88001,The Village Medical Centre (M88001),10133,84.6%,25995,5465,26182,99.3%,21.0%,20.9%
Midlands,D2P2L,Black Country & West Birmingham,M88002,The Smethwick Medical Centre (M88002),9019,69.5%,12806,70,12893,99.3%,0.5%,0.5%
Midlands,D2P2L,Black Country & West Birmingham,M88003,Warley Medical Centre (M88003),11391,81.0%,17397,0,17589,98.9%,0.0%,0.0%
Midlands,D2P2L,Black Country & West Birmingham,M88004,Regis Medical Centre (M88004),43768,81.7%,72398,163,73100,99.0%,0.2%,0.2%
Midlands,D2P2L,Black Country & West Birmingham,M88006,Cape Hill Medical Centre (M88006),12073,76.7%,16209,154,16380,99.0%,1.0%,0.9%
Midlands,D2P2L,Black Country & West Birmingham,M88007,Oakeswell Health Centre (M88007),9502,77.1%,15976,5,17434,91.6%,0.0%,0.0%
Midlands,D2P2L,Black Country & West Birmingham,M88008,Stone Cross Medical Centre (M88008),5237,76.1%,9932,11,10052,98.8%,0.1%,0.1%
Midlands,D2P2L,Black Country & West Birmingham,M88009,Norvic Family Practice (M88009),9417,75.4%,14005,2,14449,96.9%,0.0%,0.0%
Midlands,D2P2L,Black Country & West Birmingham,M88010,Swanpool Medical Centre (M88010),8638,74.9%,16063,0,16127,99.6%,0.0%,0.0%
Midlands,D2P2L,Black Country & West Birmingham,M88013,Black Country Family Practice (M88013),14493,77.1%,20714,9,20875,99.2%,0.0%,0.0%
Midlands,D2P2L,Black Country & West Birmingham,M88014,Dr Gudi Pv & Partner (M88014),5739,75.6%,5827,0,6197,94.0%,0.0%,0.0%
Midlands,D2P2L,Black Country & West Birmingham,M88015,Great Barr Practice (M88015),11761,82.7%,18031,0,18144,99.4%,0.0%,0.0%
Midlands,D2P2L,Black Country & West Birmingham,M88016,Old Hill Medical Centre (M88016),2179,81.5%,3256,0,3284,99.1%,0.0%,0.0%
Midlands,D2P2L,Black Country & West Birmingham,M88018,Oldbury Health Centre (M88018),20382,78.1%,29837,0,30224,98.7%,0.0%,0.0%
Midlands,D2P2L,Black Country & West Birmingham,M88019,Bearwood Road Surgery (M88019),2759,46.4%,3067,12,3417,89.8%,0.4%,0.4%
Midlands,15E,Birmingham & Solihull,M88020,Sherwood House Medical Practice (M88020),13082,68.3%,12119,1,12856,94.3%,0.0%,0.0%
Midlands,D2P2L,Black Country & West Birmingham,M88021,Scott Arms Medical Centre (M88021),11297,84.0%,15449,21,15709,98.3%,0.1%,0.1%
Midlands,D2P2L,Black Country & West Birmingham,M88022,Jubilee Health Centre (M88022),3956,86.6%,7617,0,8060,94.5%,0.0%,0.0%
Midlands,D2P2L,Black Country & West Birmingham,M88023,Tame Valley Medical Centre (M88023),4754,79.8%,8395,0,9107,92.2%,0.0%,0.0%
Midlands,D2P2L,Black Country & West Birmingham,M88026,Portway Family Practice (M88026),4959,80.7%,7133,3252,7140,99.9%,45.6%,45.5%
Midlands,D2P2L,Black Country & West Birmingham,M88030,Church View Surgery (M88030),6086,80.4%,11561,38,11779,98.1%,0.3%,0.3%
Midlands,D2P2L,Black Country & West Birmingham,M88031,Hawes Lane Surgery (M88031),4087,66.7%,4428,9,5257,84.2%,0.2%,0.2%
Midlands,D2P2L,Black Country & West Birmingham,M88035,New Street Surgery (M88035),3680,79.0%,4996,0,5134,97.3%,0.0%,0.0%
Midlands,D2P2L,Black Country & West Birmingham,M88038,Linkway Medical Practice (M88038),14039,79.5%,25490,12,25619,99.5%,0.0%,0.0%
Midlands,D2P2L,Black Country & West Birmingham,M88040,St Paul'S Medical Practice (M88040),7606,66.6%,8838,508,9070,97.4%,5.7%,5.6%
Midlands,D2P2L,Black Country & West Birmingham,M88041,Hawthorns Medical Centre (M88041),3392,79.0%,3547,0,3554,99.8%,0.0%,0.0%
Midlands,D2P2L,Black Country & West Birmingham,M88042,Bearwood Medical Centre (M88042),4957,71.4%,5140,72,5211,98.6%,1.4%,1.4%
Midlands,D2P2L,Black Country & West Birmingham,M88043,Haden Vale Surgery (M88043),7000,92.6%,7660,12,7905,96.9%,0.2%,0.2%
Midlands,D2P2L,Black Country & West Birmingham,M88044,West Brom P'Ships For Health (M88044),3771,72.4%,4678,390,4683,99.9%,8.3%,8.3%
Midlands,D2P2L,Black Country & West Birmingham,M88600,The Victoria Surgery (M88600),3699,76.7%,4391,0,4590,95.7%,0.0%,0.0%
Midlands,D2P2L,Black Country & West Birmingham,M88610,Sarephed Medical Centre (M88610),4837,66.2%,3889,0,3932,98.9%,0.0%,0.0%
Midlands,D2P2L,Black Country & West Birmingham,M88612,Glebefields Surgery (M88612),3956,86.3%,6208,0,6651,93.3%,0.0%,0.0%
Midlands,D2P2L,Black Country & West Birmingham,M88616,Great Bridge P/Ship For Health (M88616),12612,71.5%,14774,725,14964,98.7%,4.9%,4.8%
Midlands,D2P2L,Black Country & West Birmingham,M88618,"Walford Street, Tividale (M88618)",2067,78.3%,3377,0,3398,99.4%,0.0%,0.0%
Midlands,D2P2L,Black Country & West Birmingham,M88619,Dr Arora Rk (M88619),9605,78.5%,11404,0,11451,99.6%,0.0%,0.0%
Midlands,D2P2L,Black Country & West Birmingham,M88620,Causeway Green Road Surgery (M88620),2960,70.5%,3692,308,3742,98.7%,8.3%,8.2%
Midlands,D2P2L,Black Country & West Birmingham,M88625,St Paul'S Partnership - Lyng Medical (M88625),3320,75.6%,3774,548,3842,98.2%,14.5%,14.3%
Midlands,D2P2L,Black Country & West Birmingham,M88626,Dr Ui Haque N (M88626),2847,85.1%,5576,0,5628,99.1%,0.0%,0.0%
Midlands,D2P2L,Black Country & West Birmingham,M88628,Dr Singh M (M88628),3213,80.5%,5007,0,5081,98.5%,0.0%,0.0%
Midlands,D2P2L,Black Country & West Birmingham,M88630,Clifton Lane Medical Centre (M88630),5388,77.1%,9566,0,9593,99.7%,0.0%,0.0%
Midlands,D2P2L,Black Country & West Birmingham,M88633,Lodge Road Surgery (M88633),6012,68.4%,8746,0,8847,98.9%,0.0%,0.0%
Midlands,D2P2L,Black Country & West Birmingham,M88635,Dog Kennel Lane Surgery (M88635),2008,84.7%,3610,0,3622,99.7%,0.0%,0.0%
Midlands,D2P2L,Black Country & West Birmingham,M88639,St Pauls Partners (M88639),3125,76.8%,4248,29,4365,97.3%,0.7%,0.7%
Midlands,D2P2L,Black Country & West Birmingham,M88640,Warley Road Surgery (M88640),3642,74.3%,4651,0,4722,98.5%,0.0%,0.0%
Midlands,D2P2L,Black Country & West Birmingham,M88643,The Spires Health Centre (M88643),5183,85.1%,10957,0,11036,99.3%,0.0%,0.0%
Midlands,D2P2L,Black Country & West Birmingham,M88645,Hill Top Medical Centre (M88645),10315,83.3%,17016,210,17315,98.3%,1.2%,1.2%
Midlands,D2P2L,Black Country & West Birmingham,M88646,Dr Dewan Vk (M88646),2181,71.6%,3771,760,4061,92.9%,20.2%,18.7%
Midlands,D2P2L,Black Country & West Birmingham,M88647,Rood End Medical Practice (M88647),4785,72.5%,4186,663,4618,90.6%,15.8%,14.4%
Midlands,15E,Birmingham & Solihull,M89001,Parkfield Medical Centre (M89001),3495,84.3%,5020,0,5062,99.2%,0.0%,0.0%
Midlands,15E,Birmingham & Solihull,M89002,Kingshurst Medical Practice (M89002),6201,80.2%,10612,0,10680,99.4%,0.0%,0.0%
Midlands,15E,Birmingham & Solihull,M89003,Gps Healthcare (M89003),40069,80.9%,51954,2635,52133,99.7%,5.1%,5.1%
Midlands,15E,Birmingham & Solihull,M89005,St. Margarets Medical Practice (M89005),8392,81.4%,12090,0,12161,99.4%,0.0%,0.0%
Midlands,15E,Birmingham & Solihull,M89007,Richmond Medical Centre (M89007),6228,80.2%,7241,0,7329,98.8%,0.0%,0.0%
Midlands,15E,Birmingham & Solihull,M89008,Bosworth Medical Group (M89008),13113,81.4%,22250,22,23060,96.5%,0.1%,0.1%
Midlands,15E,Birmingham & Solihull,M89009,Manor House Lane Surgery (M89009),11184,84.3%,19386,2,19660,98.6%,0.0%,0.0%
Midlands,15E,Birmingham & Solihull,M89010,Dorridge Surgery (M89010),10852,77.9%,10911,2,11017,99.0%,0.0%,0.0%
Midlands,15E,Birmingham & Solihull,M89012,Croft Medical Centre (M89012),11391,77.3%,21394,122,21564,99.2%,0.6%,0.6%
Midlands,15E,Birmingham & Solihull,M89013,Arran Medical Centre (M89013),6084,79.7%,8449,0,8503,99.4%,0.0%,0.0%
Midlands,15E,Birmingham & Solihull,M89015,Northbrook Health Centre (M89015),12007,88.9%,20448,652,20823,98.2%,3.2%,3.1%
Midlands,15E,Birmingham & Solihull,M89016,Balsall Common & Meriden Group Practice (M89016),12900,82.1%,20961,8528,20985,99.9%,40.7%,40.6%
Midlands,15E,Birmingham & Solihull,M89017,Solihull Healthcare Partnership (M89017),56239,77.6%,64984,5840,65078,99.9%,9.0%,9.0%
Midlands,15E,Birmingham & Solihull,M89019,Hobs Moat Medical Centre (M89019),10937,79.4%,14520,10,14883,97.6%,0.1%,0.1%
Midlands,15E,Birmingham & Solihull,M89021,Coventry Road Practice (M89021),4369,85.5%,6772,308,6936,97.6%,4.5%,4.4%
Midlands,15E,Birmingham & Solihull,M89024,Grafton Road Surgery (M89024),4059,87.5%,6954,0,7046,98.7%,0.0%,0.0%
Midlands,15E,Birmingham & Solihull,M89026,The Castle Practice (M89026),10964,84.3%,18290,17,18326,99.8%,0.1%,0.1%
Midlands,15E,Birmingham & Solihull,M89027,Green Lane Surgery (M89027),7759,89.1%,14334,0,14428,99.3%,0.0%,0.0%
Midlands,15E,Birmingham & Solihull,M89030,Arden Medical Centre (M89030),5457,79.9%,4862,0,4881,99.6%,0.0%,0.0%
Midlands,15E,Birmingham & Solihull,M89608,Hampton Surgery (M89608),3443,85.9%,4038,79,4063,99.4%,2.0%,1.9%
Midlands,D2P2L,Black Country & West Birmingham,M91003,Sina Health Centre (M91003),7180,85.3%,8821,99,9097,97.0%,1.1%,1.1%
Midlands,D2P2L,Black Country & West Birmingham,M91004,St Peter'S Surgery (M91004),9965,77.9%,15810,12,16540,95.6%,0.1%,0.1%
Midlands,D2P2L,Black Country & West Birmingham,M91006,Parkside Medical Practice (M91006),4208,80.9%,6686,305,6959,96.1%,4.6%,4.4%
Midlands,D2P2L,Black Country & West Birmingham,M91007,St John'S Medical Centre (M91007),9536,79.2%,16110,908,16312,98.8%,5.6%,5.6%
Midlands,D2P2L,Black Country & West Birmingham,M91008,Little London Surgery (M91008),8965,77.6%,15036,1821,15300,98.3%,12.1%,11.9%
Midlands,D2P2L,Black Country & West Birmingham,M91009,Streets Corner Surgery (M91009),5701,80.5%,10059,2452,10859,92.6%,24.4%,22.6%
Midlands,D2P2L,Black Country & West Birmingham,M91010,Portland Medical Practice (M91010),8914,82.9%,13173,595,13766,95.7%,4.5%,4.3%
Midlands,D2P2L,Black Country & West Birmingham,M91011,The Limes Medical Centre (M91011),6994,76.4%,10691,867,10880,98.3%,8.1%,8.0%
Midlands,D2P2L,Black Country & West Birmingham,M91013,Lockfield Surgery (M91013),10187,78.2%,16479,819,16870,97.7%,5.0%,4.9%
Midlands,D2P2L,Black Country & West Birmingham,M91014,Brace Street Health Centre (M91014),2752,73.4%,4852,1206,4884,99.3%,24.9%,24.7%
Midlands,D2P2L,Black Country & West Birmingham,M91015,Lichfield St Surgery (M91015),9153,75.9%,13764,450,14342,96.0%,3.3%,3.1%
Midlands,D2P2L,Black Country & West Birmingham,M91016,New Invention Health Centre (M91016),6740,77.1%,8483,81,8790,96.5%,1.0%,0.9%
Midlands,D2P2L,Black Country & West Birmingham,M91017,Northgate Medical Centre (M91017),10052,80.6%,13274,663,13569,97.8%,5.0%,4.9%
Midlands,D2P2L,Black Country & West Birmingham,M91018,Saddlers Health Centre (M91018),3549,73.6%,4897,229,5021,97.5%,4.7%,4.6%
Midlands,D2P2L,Black Country & West Birmingham,M91019,Rushall Medical Centre (M91019),15002,85.4%,27504,1360,27917,98.5%,4.9%,4.9%
Midlands,D2P2L,Black Country & West Birmingham,M91020,Sycamore House Medical Centre (M91020),5545,78.8%,8128,1215,8309,97.8%,14.9%,14.6%
Midlands,D2P2L,Black Country & West Birmingham,M91021,Lockstown Practice (M91021),8042,79.3%,14334,18,14402,99.5%,0.1%,0.1%
Midlands,D2P2L,Black Country & West Birmingham,M91024,Dr Nambisan Surgery (M91024),2397,89.8%,3951,305,4036,97.9%,7.7%,7.6%
Midlands,D2P2L,Black Country & West Birmingham,M91026,Darlaston Family Practice (M91026),5265,78.8%,5606,2201,5710,98.2%,39.3%,38.5%
Midlands,D2P2L,Black Country & West Birmingham,M91028,Berkley Practice (M91028),8558,80.7%,14794,29,14815,99.9%,0.2%,0.2%
Midlands,D2P2L,Black Country & West Birmingham,M91029,Mossley & Dudley Fields Medical Practice (M91029),5294,86.9%,9337,325,9541,97.9%,3.5%,3.4%
Midlands,D2P2L,Black Country & West Birmingham,M91032,Collingwood Family Practice (M91032),4781,78.1%,8049,75,8464,95.1%,0.9%,0.9%
Midlands,D2P2L,Black Country & West Birmingham,M91033,Willenhall Medical Centre (M91033),5627,78.0%,6757,39,6873,98.3%,0.6%,0.6%
Midlands,D2P2L,Black Country & West Birmingham,M91034,Bloxwich Medical Practice (M91034),4892,85.7%,8701,27,9124,95.4%,0.3%,0.3%
Midlands,D2P2L,Black Country & West Birmingham,M91036,Harden Health Centre (M91036),3271,88.8%,5750,1232,5776,99.5%,21.4%,21.3%
Midlands,D2P2L,Black Country & West Birmingham,M91602,Khan Medical Practice (M91602),2132,79.2%,3734,6,3789,98.5%,0.2%,0.2%
Midlands,D2P2L,Black Country & West Birmingham,M91609,New Road Medical Centre (M91609),1988,81.1%,2716,75,2838,95.7%,2.8%,2.6%
Midlands,D2P2L,Black Country & West Birmingham,M91611,Beechdale Centre (M91611),2693,81.7%,3938,0,4807,81.9%,0.0%,0.0%
Midlands,D2P2L,Black Country & West Birmingham,M91612,St Mary'S Surgery (M91612),3122,84.6%,5290,56,5559,95.2%,1.1%,1.0%
Midlands,D2P2L,Black Country & West Birmingham,M91613,Forrester Street Medical Centre (M91613),9675,69.3%,10463,369,10522,99.4%,3.5%,3.5%
Midlands,D2P2L,Black Country & West Birmingham,M91614,Stroud Practice (M91614),7530,82.3%,8872,5,9014,98.4%,0.1%,0.1%
Midlands,D2P2L,Black Country & West Birmingham,M91616,Pleck Health Centre (M91616),7840,77.5%,11354,64,11609,97.8%,0.6%,0.6%
Midlands,D2P2L,Black Country & West Birmingham,M91619,Broadway Medical Centre (M91619),5482,74.7%,6090,164,6267,97.2%,2.7%,2.6%
Midlands,D2P2L,Black Country & West Birmingham,M91621,Palfrey Health Centre (M91621),4957,73.4%,8338,3896,8453,98.6%,46.7%,46.1%
Midlands,D2P2L,Black Country & West Birmingham,M91623,Lower Farm Health Centre (M91623),1809,83.3%,3293,9,3353,98.2%,0.3%,0.3%
Midlands,D2P2L,Black Country & West Birmingham,M91624,Moxley Medical Centre (M91624),3185,87.3%,5407,1086,5544,97.5%,20.1%,19.6%
Midlands,D2P2L,Black Country & West Birmingham,M91626,Holland Park Surgery (M91626),4532,75.3%,6274,326,6681,93.9%,5.2%,4.9%
Midlands,D2P2L,Black Country & West Birmingham,M91628,Brace Street Hc- Kumar (M91628),2998,81.8%,3184,61,3355,94.9%,1.9%,1.8%
Midlands,D2P2L,Black Country & West Birmingham,M91629,Birchills Health Centre (M91629),6548,71.0%,6765,130,6816,99.3%,1.9%,1.9%
Midlands,D2P2L,Black Country & West Birmingham,M91637,Blackwood Health Centre (M91637),3727,78.3%,4244,3,4976,85.3%,0.1%,0.1%
